id,trip,kind,title,date,time,end_date,end_time,from_place,to_place,ref,status,price,document,event,details,created
kuveit-gt-kuwait-2027-2027-01-31-activity-kemp-gt-kuwait-2027-goose-tribe-2027-02-01,kuveit-gt-kuwait-2027-2027-01-31,activity,Кемп GT#KUWAIT 2027 (Goose Tribe),2027-02-01,08:00,2027-02-05,,Sabah Al Ahmad Sea City,,,planned,1000$,,nun3bs3mn54u5gcq50imra7i6s,"Пять прыжковых дней, Cessna Caravan с 4000 м, ~6 прыжков в день, ротация коучей, разборы и видео. Взнос: 500$ предоплата при регистрации (с 1 октября, телеграм-канал), 500$ на месте.",2026-09-24
goodsky-kemp-konnova-oktyabr-2026-10-16-activity-kemp-goodsky-konnov-2026-10-16,goodsky-kemp-konnova-oktyabr-2026-10-16,activity,Кемп GoodSky — Коннов,2026-10-16,10:00,2026-10-19,,"GoodSky, Гудермес, ул. Ростовская 2/2",,,planned,,,guacrb2l5dqmakd5mcadob7na8,,2026-09-24
goodsky-kemp-konnova-noyabr-2026-11-27-activity-kemp-goodsky-konnov-2026-11-27,goodsky-kemp-konnova-noyabr-2026-11-27,activity,Кемп GoodSky — Коннов,2026-11-27,10:00,2026-11-30,,"GoodSky, Гудермес, ул. Ростовская 2/2",,,planned,,,e9n9315j9070hqet589vv4pbqc,,2026-09-24
bali-2026-09-17-activity-vodopad-tegenungan-2026-09-24,bali-2026-09-17,activity,Водопад Tegenungan,2026-09-24,,,,,"Tegenungan Waterfall, Kemenuh, Gianyar",,paid,,,a7iau394ptlg98cr9toe3ftps8,✅ Посещено 24.09.2026,2026-09-24
bali-2026-09-17-activity-bali-safari-park-2026-09-24,bali-2026-09-17,activity,Bali Safari Park — Night Safari,2026-09-24,18:00,,,,,KCOPCNHLGT,paid,,bilet-bali-safari-park-24-09-2026,,"Ночное сафари: на открытом транспорте по местам с дикими животными. Видел львов, зебр, слонов, носорога, жирафов, тигров и местных коров с огромными рогами (бантенги). Билет из письма GlobalTix, 2 взрослых.",2026-09-24
bali-2026-09-17-other-rabochaya-vstrecha-s-pavlom-2026-09-20,bali-2026-09-17,other,Рабочая встреча с Павлом,2026-09-20,15:00,2026-09-20,19:00,,The Rang Uluwatu,,done,,,,Обсуждение вопросов по развитию продукта и способов его автоматизации с использованием ИИ.,2026-09-24
bali-2026-09-17-activity-private-jet-villa-vstrecha-s-pavlom-2026-09-22,bali-2026-09-17,other,Рабочая встреча с Павлом,2026-09-22,18:00,2026-09-22,21:00,,"Private Jet Villa, Uluwatu",,done,,,,"Обсуждение вопросов по развитию продукта и способов его автоматизации с использованием ИИ. Посетили Private Jet Villa на Бали, там же и встретились. На обратном пути выяснилось, что Яна забыла паспорт в такси, на котором ехали на виллу — организовали спасательную операцию.",2026-09-23
bali-2026-09-17-activity-morskaya-progulka-i-snorkling-nusa-penida-manta-poi,bali-2026-09-17,activity,Морская прогулка и снорклинг: Nusa Penida / Manta Point,2026-09-26,07:30,,,"Санур (Sanur), сбор к 7:30","Nusa Penida, Manta Point",,booked,,,,"Забронировано. Сбор в Сануре к 7:30 — выезд из Куты заранее, дорога 30–40 минут. Взять: маска, солнцезащитный крем, полотенце, сменная одежда, вода.",2026-09-24
bali-2026-09-17-activity-akvapark-2026-09-19,bali-2026-09-17,activity,Аквапарк Waterbom Bali,2026-09-19,,,,,"Waterbom Bali, Кута",,done,,,,"Очень круто провели время: прокатились на всех горках, кроме детских. Отличный аквапарк!",2026-09-19
bali-2026-09-17-activity-plyazh-sanur-2026-09-25,bali-2026-09-17,activity,Пляж Санур,2026-09-25,,,,,Sanur,,done,,,,"Как пляж место довольно унылое, но район хороший. Съел дуриан — в этот раз понравилось.",2026-09-25
bali-2026-09-17-activity-massazh-2026-09-25,bali-2026-09-17,activity,Массаж,2026-09-25,19:00,,,,,,done,,,,,2026-09-25
bali-2026-09-17-boarding-2026-09-27-eduard-tishkin,bali-2026-09-17,ticket,Посадочный — Eduard Tishkin,2026-09-27,10:05,,,Денпасар (DPS),Шереметьево (SVO),,paid,,posadochnyi-talon-su-297-denpasar-moskva-eduard-tishkin-27-0,,К рейсу SU 297 Денпасар — Москва,2026-09-26
